Ligand,Binding Affinity,rmsd/ub, rmsd/lb
protein_135029392_uff_E=385.46,-7,2.185,1.756
protein_65416140_uff_E=167.33,-7,6.622,1.808
protein_58223322_uff_E=758.15,-7,11.087,5.262
protein_89392896_uff_E=316.36,-7,10.856,2.659
protein_21516532_uff_E=172.84,-7,0,0
protein_86083201_uff_E=327.87,-7,4.97,2.456
protein_163197293_uff_E=313.69,-7,4.874,2.871
protein_163197293_uff_E=313.69,-7,3.258,2.529
protein_163197293_uff_E=313.69,-7,3.101,2.539
protein_73348902_uff_E=483.29,-6.9,2.288,1.568
protein_11286656_uff_E=159.55,-6.9,0,0
protein_44828696_uff_E=156.25,-6.9,2.15,1.044
protein_65416140_uff_E=167.33,-6.9,2.007,1.407
protein_21516532_uff_E=172.84,-6.9,1.986,1.491
protein_119576528_uff_E=414.77,-6.9,5.921,3.429
protein_9965429_uff_E=243.55,-6.8,6.025,1.547
protein_9965429_uff_E=243.55,-6.8,6.097,2.803
protein_9965429_uff_E=243.55,-6.8,6.051,2.944
protein_44828696_uff_E=156.25,-6.8,6.802,4.04
protein_89392896_uff_E=316.36,-6.8,11.527,4.379
protein_86083201_uff_E=327.87,-6.8,12.512,10.326
protein_163197293_uff_E=313.69,-6.8,6.322,2.947
protein_9965429_uff_E=243.55,-6.7,13.164,8.929
protein_89392896_uff_E=316.36,-6.7,11.479,4.541
protein_22156152_uff_E=323.50,-6.7,0,0
protein_22156152_uff_E=323.50,-6.7,3.368,1.601
protein_86083201_uff_E=327.87,-6.7,6.446,3.454
protein_9965429_uff_E=243.55,-6.6,2.791,2.02
protein_9965429_uff_E=243.55,-6.6,6.572,2.665
protein_11286656_uff_E=159.55,-6.6,2.207,1.479
protein_69773668_uff_E=553.40,-6.6,12,2.477
protein_21516532_uff_E=172.84,-6.6,2.887,2.14
protein_86083201_uff_E=327.87,-6.6,3.557,2.634
protein_86083201_uff_E=327.87,-6.6,13.723,11.494
protein_163197295_uff_E=165.41,-6.6,0,0
protein_409363_uff_E=157.63,-6.5,0,0
protein_29980915_uff_E=405.24,-6.5,4.484,2.757
protein_44828696_uff_E=156.25,-6.5,7.037,4.379
protein_58223322_uff_E=758.15,-6.5,2.707,1.96
protein_86083201_uff_E=327.87,-6.5,4.35,2.937
protein_163197294_uff_E=1018.84,-6.5,4.993,3.162
protein_409363_uff_E=157.63,-6.4,3.839,2.909
protein_409363_uff_E=157.63,-6.4,4.684,3.918
protein_71749456_uff_E=509.02,-6.4,3.635,2.392
protein_11286656_uff_E=159.55,-6.4,5.528,2.479
protein_11286656_uff_E=159.55,-6.4,3.095,2.223
protein_69716662_uff_E=921.28,-6.4,5.497,2.984
protein_44828696_uff_E=156.25,-6.4,12.331,9.811
protein_21516532_uff_E=172.84,-6.4,2.285,1.842
protein_21516532_uff_E=172.84,-6.4,3.099,1.996
protein_163197293_uff_E=313.69,-6.4,7.186,3.236
protein_18525814_uff_E=193.84,-6.3,5.417,2.02
protein_58223322_uff_E=758.15,-6.3,5.597,3.012
protein_21516532_uff_E=172.84,-6.3,2.046,0.828
protein_21516532_uff_E=172.84,-6.3,5.192,3.284
protein_22156152_uff_E=323.50,-6.3,3.406,1.732
protein_163197295_uff_E=165.41,-6.3,2.573,1.735
protein_119576528_uff_E=414.77,-6.3,8.888,2.058
protein_119576528_uff_E=414.77,-6.3,9.054,2.229
protein_119576528_uff_E=414.77,-6.3,8.814,2.015
protein_409363_uff_E=157.63,-6.2,4.539,3.379
protein_18525814_uff_E=193.84,-6.2,10.278,7.893
protein_18525814_uff_E=193.84,-6.2,5.415,1.793
protein_11286656_uff_E=159.55,-6.2,5.492,2.392
protein_11286656_uff_E=159.55,-6.2,4.703,2.126
protein_65416140_uff_E=167.33,-6.2,8.628,4.745
protein_163197293_uff_E=313.69,-6.2,4.944,3.446
protein_44828696_uff_E=156.25,-6.1,6.802,5.124
protein_22156152_uff_E=323.50,-6.1,3.275,1.992
protein_163197294_uff_E=1018.84,-6.1,11.519,3.577
protein_65416140_uff_E=167.33,-6,10.232,6.526
protein_119576528_uff_E=414.77,-6,8.459,2.23
protein_409363_uff_E=157.63,-5.9,2.043,1.871
protein_11286656_uff_E=159.55,-5.9,11.603,9.568
protein_65416140_uff_E=167.33,-5.9,1.961,1.632
protein_21516532_uff_E=172.84,-5.9,11.496,9.992
protein_21516532_uff_E=172.84,-5.9,12.031,10.5
protein_22156152_uff_E=323.50,-5.9,11.465,10.051
protein_22156152_uff_E=323.50,-5.9,10.278,8.927
protein_163197295_uff_E=165.41,-5.9,3.654,1.311
protein_409363_uff_E=157.63,-5.8,3.867,2.685
protein_409363_uff_E=157.63,-5.8,4.346,2.911
protein_18525814_uff_E=193.84,-5.8,11.036,9.091
protein_22156152_uff_E=323.50,-5.8,4.331,3.047
protein_22156152_uff_E=323.50,-5.8,11.925,10.577
protein_22156152_uff_E=323.50,-5.8,10.608,9.421
protein_163197295_uff_E=165.41,-5.8,3.705,2.381
protein_163197295_uff_E=165.41,-5.8,2.609,1.193
protein_163197294_uff_E=1018.84,-5.8,11.401,3.149
protein_9589_uff_E=62.90,-5.7,0,0
